Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Steve Deberg,11700,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Davis,11680,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrick Monroe,11720,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Anderson,11710,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Bighill,11750,NO,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Wallace,11430,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Hooker,11770,DAL,77.4,26.0,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Davis,11760,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Hall,11440,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabrill Peppers,11780,,84.9,46.0,16.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Horn,11450,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Mcdowell,11790,CLV,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalvin Tomlinson,11810,CLV,59.3,5.0,9.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Golden,11470,NO,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Ogunjobi,11820,,53.9,22.0,11.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylor Harris,11480,SEA,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Coleman,11490,LAC,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Sutton,11850,DET,59.7,31.0,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Riley,11830,MIA,73.7,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samson Ebukam,11880,IND,84.0,27.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Bennett,11580,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Jacke,11560,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Butt,11900,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Williams,11570,GB,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Jackson,11600,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Brisby,11610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Gerry,11940,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
